date,time,TLoad,TAmp,TPlate,T4,VDetector,Elevation,V3,V4,Sky,Hot,Amp,Noise,LOMHz
21.09.2020,14:46:35.610953,22.333,25.863642,22.718504,-274.15,2.205217,11.161919,2.524961,0.833729,0,1,1,0,18485
21.09.2020,14:46:36.097559,22.329,25.862331,22.720084,-274.15,2.204307,11.157632,2.52485,0.832892,0,1,1,0,18485
21.09.2020,14:46:36.611885,22.33,25.865446,22.722645,-274.15,2.20577,11.162507,2.525102,0.836419,0,1,1,0,18485
21.09.2020,14:46:37.098355,22.331,25.869113,22.721601,-274.15,2.206346,11.158409,2.52498,0.83835,0,1,1,0,18485
21.09.2020,14:46:37.612506,22.331,25.870601,22.723064,-274.15,2.204901,11.168575,2.524872,0.837107,0,1,1,0,18485
21.09.2020,14:46:38.098341,22.329,25.873523,22.724999,-274.15,2.204931,11.160726,2.52508,0.835633,0,1,1,0,18485
21.09.2020,14:46:38.611759,22.329,25.874708,22.727882,-274.15,2.205634,11.161608,2.524849,0.833549,0,1,1,0,18485
21.09.2020,14:46:39.098279,22.328,25.877299,22.72781,-274.15,2.204591,11.161297,2.52484,0.835529,0,1,1,0,18485
21.09.2020,14:46:39.613252,22.331,25.881808,22.730789,-274.15,2.204124,11.162904,2.525303,0.836272,0,1,1,0,18485
21.09.2020,14:46:40.105897,22.333,25.886498,22.731952,-274.15,2.204292,11.169768,2.525489,0.835915,0,1,1,0,18485
21.09.2020,14:46:40.606911,22.33,25.890792,22.734749,-274.15,2.204276,11.157614,2.525284,0.83355,0,1,1,0,18485
21.09.2020,14:46:41.105724,22.329,25.892375,22.736426,-274.15,2.204144,11.160588,2.525305,0.832404,0,1,1,0,18485
21.09.2020,14:46:41.597504,22.328,25.891565,22.736055,-274.15,2.204425,11.170494,2.525159,0.830564,0,1,1,0,18485
21.09.2020,14:46:42.110781,22.332,25.897705,22.738919,-274.15,2.203984,11.163267,2.525107,0.832661,0,1,1,0,18485
21.09.2020,14:46:42.607084,22.333,25.900297,22.739071,-274.15,2.205385,11.15962,2.52477,0.833165,0,1,1,0,18485
21.09.2020,14:46:43.098715,22.331,25.900846,22.741496,-274.15,2.204996,11.176458,2.525069,0.830553,0,1,1,0,18485
21.09.2020,14:46:43.612699,22.33,25.903124,22.741445,-274.15,2.204562,11.162005,2.52501,0.834192,0,1,1,0,18485
21.09.2020,14:46:44.097522,22.33,25.910505,22.74758,-274.15,2.205789,11.166569,2.524936,0.83105,0,1,1,0,18485
21.09.2020,14:46:44.611901,22.33,25.909226,22.744023,-274.15,2.205628,11.165722,2.524881,0.834721,0,1,1,0,18485
21.09.2020,14:46:45.097488,22.329,25.912967,22.747553,-274.15,2.203552,11.161919,2.525215,0.837657,0,1,1,0,18485
21.09.2020,14:46:45.597497,22.335,25.916408,22.749742,-274.15,2.204465,11.161815,2.525024,0.83455,0,1,1,0,18485
21.09.2020,14:46:46.112239,22.335,25.920625,22.752449,-274.15,2.205218,11.170926,2.525403,0.833055,0,1,1,0,18485
21.09.2020,14:46:46.599271,22.335,25.922377,22.752692,-274.15,2.204716,11.160311,2.525496,0.836797,0,1,1,0,18485
21.09.2020,14:46:47.112454,22.331,25.925909,22.752715,-274.15,2.20516,11.166206,2.525307,0.834721,0,1,1,0,18485
21.09.2020,14:46:47.606845,22.338,25.929457,22.759851,-274.15,2.203393,11.165705,2.5249,0.834966,0,1,1,0,18485
